Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Force Motors","https://scanx.trade/company/force-motors-ltd","18,170.00","0.02%","18,279.00","54,096","23,680.80","19.75","65.83","26,450.00","14,911.00","2.99%","-18.04%","8.68%","616.37%","1,220.35%","5.71","0.28%","17.20%","37.08%","330.24","18,941.52","19,412.94","46.37","50.00%","75.00%"
"RBL Bank","https://scanx.trade/company/rbl-bank-ltd","380.65","4.92%","365.05","91,27,348","23,578.34","63.88","21.00","381.70","243.25","5.44%","19.81%","46.06%","105.42%","73.85%","1.32","0.11%","8.49%","5.64%","21.30","351.83","317.47","60.09","57.29%","80.00%"
"Tata Elxsi","https://scanx.trade/company/tata-elxsi-ltd","3,690.30","1.90%","3,669.00","3,77,470","22,989.49","35.91","-104.12","6,439.50","3,562.00","-13.32%","-17.11%","-40.01%","-50.71%","-14.09%","7.42","2.07%","36.00%","52.73%","126.48","4,092.48","4,810.09","35.63","76.00%","87.16%"
"Kaynes Technology India","https://scanx.trade/company/kaynes-technology-ltd","3,336.10","-2.71%","3,447.00","13,75,926","22,363.43","63.25","59.22","7,705.00","2,995.00","8.57%","-13.38%","-45.52%","109.58%","383.53%","4.85","-","9.91%","15.98%","32.73","3,406.83","4,479.55","52.45","69.50%","75.00%"
"CAMS","https://scanx.trade/company/cams-ltd","790.50","2.44%","777.90","15,79,501","19,603.17","40.75","-34.85","857.80","611.40","5.44%","13.08%","-5.69%","75.95%","37.28%","14.56","1.61%","38.33%","44.21%","78.32","781.82","747.13","52.20","74.00%","80.00%"
"Crompton Greaves","https://scanx.trade/company/crompton-greaves-consumer-electricals-ltd","261.70","1.04%","260.00","19,78,921","16,851.25","-72.33","11.77","353.25","217.40","0.48%","10.00%","-23.66%","-9.99%","-40.44%","5.62","1.16%","12.81%","19.23%","7.36","276.24","265.48","41.52","76.00%","80.00%"
"PG Electroplast","https://scanx.trade/company/pg-electroplast-ltd","583.15","-0.09%","586.65","11,21,288","16,639.76","85.17","59.22","836.45","436.55","21.54%","21.54%","-26.07%","278.32%","1,296.43%","5.49","0.04%","19.57%","14.42%","7.08","515.14","549.37","65.07","66.60%","75.00%"
"KFin Technologies","https://scanx.trade/company/kfin-technologies-ltd","901.10","2.99%","874.95","18,81,598","15,573.50","43.99","-34.85","1,321.90","784.95","6.77%","0.99%","-31.05%","156.29%","147.66%","9.04","1.37%","21.56%","18.89%","15.80","864.35","988.15","57.37","68.53%","80.00%"
"KPIT Technologies","https://scanx.trade/company/kpit-technologies-ltd","561.75","2.48%","554.05","41,55,099","15,400.03","23.56","-104.12","1,328.00","543.35","-25.71%","-21.55%","-55.40%","-47.05%","124.12%","4.24","1.36%","27.67%","35.48%","24.17","716.82","948.34","23.96","73.78%","82.94%"
"Inox Wind","https://scanx.trade/company/inox-wind-ltd","82.61","0.73%","82.73","3,22,13,482","14,276.97","31.55","11.77","177.74","75.05","-4.10%","-3.26%","-52.61%","70.08%","262.01%","2.22","-","-29.66%","12.30%","0.66","91.99","111.62","36.20","67.59%","75.00%"
"Indian Energy Exchange","https://scanx.trade/company/indian-energy-exchange-ltd","119.64","1.52%","118.52","79,25,614","10,668.21","21.31","-34.85","211.75","114.60","-0.35%","-7.75%","-42.47%","-3.28%","-9.57%","7.70","2.97%","36.08%","47.66%","4.17","124.74","131.58","41.15","75.00%","65.00%"
