Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,454.80","2.00%","1,448.00","17,32,609","1,42,578.83","29.05","25.01","1,854.00","1,304.10","-1.95%","-0.47%","-9.91%","26.82%","38.32%","4.71","3.58%","8.83%","19.82%","25.74","1,444.84","1,486.42","53.02","76.00%","88.59%"
"Polycab","https://scanx.trade/company/polycab-india-ltd","9,210.50","1.50%","9,149.00","3,96,730","1,38,742.42","50.46","20.83","10,126.00","6,620.00","-4.21%","21.08%","37.14%","159.69%","373.27%","11.38","0.52%","21.87%","30.82%","118.40","9,357.72","7,999.91","42.22","74.12%","86.68%"
"Bharat Heavy Electricals","https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd","395.25","3.58%","388.90","1,18,87,326","1,37,628.55","82.95","11.77","424.90","205.12","-0.33%","42.59%","50.83%","333.39%","494.81%","5.08","0.37%","1.15%","3.75%","0.29","396.04","299.45","51.39","72.83%","84.16%"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","309.75","0.50%","312.00","37,99,709","1,34,385.21","5.17","8.34","391.65","266.60","7.14%","4.17%","-11.12%","60.41%","35.59%","1.33","2.40%","35.51%","17.05%","44.92","301.21","335.26","53.41","76.00%","87.44%"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","406.50","0.59%","406.30","34,20,598","1,34,149.14","3.96","33.85","486.50","329.90","-6.68%","-5.03%","-2.69%","126.34%","317.69%","1.00","4.59%","19.70%","9.24%","62.81","432.54","403.28","37.16","72.83%","86.88%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","250.95","2.60%","245.50","1,82,39,487","1,29,775.33","6.30","8.71","325.50","230.81","-8.33%","-8.49%","4.07%","23.38%","200.00%","0.76","3.48%","15.25%","5.08%","36.82","266.77","279.58","38.86","76.00%","87.50%"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","5,353.00","-0.16%","5,390.00","1,43,224","1,28,936.80","50.91","24.54","6,336.00","5,035.00","4.81%","-2.23%","-8.99%","6.38%","54.00%","25.29","1.69%","53.81%","58.72%","91.68","5,329.51","5,750.42","54.15","78.00%","87.50%"
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","8,841.00","-0.05%","8,849.00","2,64,694","1,27,120.02","63.49","81.20","8,950.00","6,696.50","3.72%","18.17%","18.37%","71.39%","137.28%","13.42","0.23%","12.53%","15.53%","72.05","8,323.83","7,660.31","67.05","75.00%","91.00%"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","3,129.40","2.35%","3,096.00","7,37,063","1,25,635.54","11.56","23.37","4,149.50","2,476.60","4.62%","-9.95%","18.29%","149.29%","103.92%","3.13","0.98%","16.57%","13.76%","111.25","3,220.79","3,438.48","50.96","76.00%","85.27%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","164.51","4.61%","157.80","2,45,98,550","1,25,580.45","6.19","8.71","205.49","124.64","-3.48%","-10.93%","13.78%","103.10%","347.65%","0.95","3.18%","14.05%","5.91%","18.56","166.75","164.57","46.04","73.93%","85.72%"
"Siemens","https://scanx.trade/company/siemens-ltd","3,496.50","0.58%","3,490.70","2,31,262","1,24,517.53","44.95","11.77","3,937.30","2,826.00","-3.41%","8.50%","8.64%","92.83%","251.29%","8.94","0.52%","14.98%","22.43%","68.99","3,661.66","3,306.88","42.39","74.98%","86.52%"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","337.95","1.95%","334.55","1,93,31,002","1,24,461.27","1.48","40.56","447.79","294.30","-12.85%","1.41%","-19.42%","-9.76%","82.26%","1.09","0.91%","34.17%","0.55%","102.18","362.68","366.16","38.72","76.00%","86.94%"
"Bosch","https://scanx.trade/company/bosch-ltd","41,815.00","-0.97%","42,325.00","12,016","1,23,327.66","44.94","60.58","42,565.00","28,610.00","10.56%","13.72%","16.80%","117.38%","173.32%","8.39","0.64%","20.65%","18.89%","646.75","38,321.90","36,772.98","66.66","78.00%","87.50%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","567.70","2.87%","555.00","61,39,132","1,22,506.88","62.82","23.37","815.00","543.00","1.27%","-3.97%","-27.80%","-15.05%","-16.91%","6.51","0.38%","10.73%","0.59%","7.61","587.96","684.66","45.29","78.00%","90.88%"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","1,220.75","2.40%","1,190.00","64,17,760","1,21,960.26","34.81","12.26","1,461.50","650.80","37.49%","54.61%","-12.18%","80.65%","215.99%","5.23","0.36%","8.86%","18.64%","19.37","937.12","1,014.21","85.27","72.22%","83.63%"
"Tata Power","https://scanx.trade/company/tata-power-ltd","381.30","1.54%","376.50","35,46,184","1,21,838.30","23.43","23.78","464.90","342.50","-4.35%","-3.39%","-4.83%","69.47%","206.39%","3.04","0.67%","11.17%","8.75%","11.48","406.65","391.97","40.26","76.00%","87.50%"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","105.41","1.90%","104.10","2,70,98,775","1,21,147.11","6.44","8.71","135.15","98.50","-3.87%","-3.81%","-5.04%","73.94%","157.10%","0.85","2.90%","8.25%","5.24%","10.66","106.04","115.64","48.09","76.00%","87.50%"
"GE Vernova T&D","https://scanx.trade/company/ge-td-india-ltd","4,677.10","0.73%","4,695.00","4,74,798","1,19,755.52","96.41","11.77","5,650.00","2,265.00","-5.15%","19.58%","95.45%","2,053.36%","3,178.72%","44.19","0.22%","-","44.57%","-","4,780.07","3,663.70","46.37","60.00%","70.00%"
"LTM","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","4,037.20","4.74%","3,903.10","10,24,019","1,19,751.96","22.94","25.01","6,429.50","3,528.00","0.93%","-11.70%","-24.25%","-19.22%","-0.42%","4.76","1.94%","22.89%","25.78%","154.11","3,995.13","5,039.09","57.89","76.00%","87.05%"
"GMR Airports","https://scanx.trade/company/gmr-infrastructure-ltd","112.51","0.61%","112.64","1,03,89,470","1,18,799.04","248.56","-34.85","115.64","84.11","9.65%","19.02%","21.24%","153.40%","251.59%","-47.63","-","-86.69%","7.69%","-","102.89","97.99","61.37","75.00%","86.88%"
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","10,654.00","0.69%","10,687.00","23,369","1,18,572.11","12.03","23.37","14,763.00","8,588.00","3.91%","7.48%","-23.14%","48.45%","182.97%","1.61","1.84%","11.70%","11.82%","670.52","10,445.37","11,004.75","52.45","68.52%","87.50%"
"HDFC AMC","https://scanx.trade/company/hdfc-asset-management-company-ltd","2,761.20","0.88%","2,755.00","8,46,266","1,18,359.74","41.05","23.37","2,967.25","2,205.60","10.30%","9.79%","7.42%","145.58%","89.06%","12.71","1.97%","27.46%","39.25%","96.87","2,672.85","2,659.11","56.39","76.00%","86.87%"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","89.90","2.02%","88.41","90,78,755","1,17,485.87","16.44","33.85","139.00","86.93","-6.36%","-8.72%","-34.66%","172.84%","279.32%","2.03","1.19%","13.04%","5.81%","4.93","97.22","110.10","38.56","72.21%","86.04%"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","870.70","9.78%","800.00","1,76,90,322","1,17,280.15","9.12","8.71","1,000.90","606.00","-0.49%","-7.55%","36.30%","180.83%","540.22%","1.46","2.30%","13.49%","5.75%","67.86","834.37","848.81","60.34","75.78%","86.79%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","128.78","3.19%","125.40","4,07,06,138","1,16,811.85","5.74","8.71","162.89","103.55","-6.35%","-6.62%","13.00%","92.78%","325.86%","1.02","3.37%","15.87%","6.03%","17.21","130.77","138.87","49.64","76.00%","87.22%"
"Cipla","https://scanx.trade/company/cipla-ltd","1,439.40","-0.13%","1,441.30","7,45,842","1,16,281.25","30.16","27.16","1,673.00","1,165.70","4.57%","17.56%","-3.51%","41.58%","49.97%","3.38","0.90%","15.50%","14.88%","55.04","1,395.51","1,414.70","56.29","78.00%","91.00%"
"Zydus Life Science","https://scanx.trade/company/cadila-healthcare-ltd","1,150.80","-0.71%","1,161.60","8,24,192","1,15,797.41","22.58","27.16","1,181.50","835.50","4.09%","27.55%","17.61%","97.87%","79.67%","4.27","0.09%","17.34%","21.99%","41.43","1,054.89","962.09","65.75","76.00%","87.50%"
"GAIL","https://scanx.trade/company/gail-ltd","173.73","2.07%","171.00","32,36,963","1,14,229.21","14.78","-34.85","192.70","134.36","3.66%","14.13%","-6.11%","59.46%","77.09%","1.26","3.23%","12.83%","15.14%","17.17","168.01","167.73","54.89","76.00%","87.50%"
"Lupin","https://scanx.trade/company/lupin-ltd","2,496.30","-0.28%","2,503.40","5,68,432","1,14,138.96","21.37","27.16","2,526.90","1,836.80","10.25%","8.77%","30.41%","177.10%","117.48%","5.10","0.72%","13.47%","21.29%","49.64","2,328.15","2,185.04","68.54","76.00%","87.50%"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","1,088.40","0.09%","1,090.00","2,57,565","1,11,369.94","59.79","81.07","1,309.00","967.05","7.42%","2.36%","-15.88%","3.18%","12.71%","8.80","1.84%","-4.45%","23.72%","17.15","1,036.42","1,120.04","61.66","76.00%","87.50%"
"Marico","https://scanx.trade/company/marico-ltd","852.50","-0.88%","863.90","13,38,643","1,10,686.50","61.56","24.50","873.00","690.20","4.83%","14.07%","16.72%","61.73%","60.26%","26.51","0.47%","36.03%","36.91%","11.73","824.05","763.45","59.72","78.00%","87.50%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,111.90","0.47%","1,105.00","11,89,725","1,10,038.66","70.81","-10.46","1,282.70","1,007.20","0.49%","3.14%","1.28%","36.34%","46.97%","5.03","0.90%","7.46%","8.29%","13.53","1,149.11","1,143.94","48.08","78.00%","90.44%"
